,label,tweet
0,trust,"['keren', 'kando']"
1,anticipation,"['grace', 'natalie', 'membandingkan', 'hasil', 'temuan', 'tim', 'riset', 'psi', 'era', 'kepemimpinan', 'susilo', 'bambang', 'yudhoyono']"
2,trust,['mantap']
3,sadness,['sedih']
4,fear,"['username', 'parah', 'liat', 'bolong', 'totol', 'bintik', 'polkadot', 'nangis', 'pusing', 'terngiang', 'kepala', 'geli', 'takut', 'pokoknya', 'liat']"
5,sadness,"['menerima', 'pembayaran', 'ginjal']"
6,sadness,"['facebook', 'ambil', 'ambil', 'alih', 'pencerahhan']"
7,trust,"['aryprasetyo', 'gerindra', 'mantap', 'partai', 'komplit', 'pakai', 'spesial', 'indonesia', 'kuasai', 'partai']"
8,sadness,"['sejujurnya', 'sesedih', 'nurutin', 'ambisi', 'dipengenin', 'belajar', 'ikhlas', 'ridho', 'menyerahkan', 'tuhan', 'legowo']"
9,joy,"['pertarungan', 'real', 'madrid', 'vs', 'atletico', 'madrid', 'menggambarkan', 'pertarungan', 'kontradiksi', 'abadi', 'sistem', 'ekonomi', 'masyarakat', 'dunia', 'real', 'madrid', 'mewakili', 'kekuatan', 'dominasi', 'borjuasi', 'borjuasi', 'borjuasi', 'nasional', 'borjuasi', 'komparador', 'atletico', 'madrid', 'mewakili', 'kekuatan', 'solidaritas', 'kelas', 'pekerja', 'menonjolkan', 'kekuatan', 'individu', 'bersatu', 'melawan', 'bangkit', 'keterpurukan', 'memanfaatkan', 'menit', 'waktu', 'normal', 'ditambah', 'babak', 'perpanjangan', 'waktu', 'kemenangan', 'ditentukan', 'kekuatan', 'individu', 'adu', 'pinalti', 'bravo', 'atletico', 'revolusi', 'selesai', 'salah', 'kemenangan', 'bursa', 'segitu', 'hancur', 'bandar', 'wkwkwkwkwkw']"
10,trust,"['kelurahan', 'laporkan', 'namanya', 'pmkotasmg']"
11,trust,"['khofifah', 'pasar', 'ikan', 'lamongan', 'plasa', 'ikan', 'ala', 'korsel']"
12,anticipation,['nyimakk']
13,joy,"['gerindra', 'amin', 'yaa', 'robb']"
14,anticipation,"['info', 'teman', 'saudara', 'dijalan', 'puasa', 'kemarin', 'teman', 'dijalan', 'berasa', 'hipnotis', 'mcdonald', 'pas', 'kenyang', 'sadar', 'hati', 'penipuan', 'marak', 'puasa']"
15,anger,"['nursyahbana', 'bambangdj', 'gerindra', 'fadlizon', 'kumparan', 'menghalangi', 'uu', 'terorisme', 'adl', 'teroris', 'bknkah', 'zonk', 'fadlizon']"
16,anticipation,['harganya']
17,joy,"['never', 'surrender', 'sbyudhoyono', 'lanjutgan']"
18,joy,"['fadlizon', 'gerindra', 'prabowo', 'setuju', 'prabowo', 'capres', 'capres', 'jokowi', 'presidenya']"
19,disgust,"['pro', 'rakyat', 'mrf_info', 'mustafajajuli', 'herman_sutono', 'srikandilampung']"
20,anticipation,"['buka', 'jakarta']"
21,disgust,"['fey', 'hiphop', 'gerindra', 'fadlizon', 'prabowo', 'ih', 'seram', 'temenan', 'tuh', 'partai']"
22,sadness,"['malam', 'terpojokkan', 'memilih', 'jalan', 'dm', 'niat', 'laksanakan', 'tunda', 'wkwk', 'biasane', 'wkwk', 'kutersedaq']"
23,trust,"['prabowo', 'nulis', 'sependapat', 'salah', 'urus', 'negara', 'indonesia', 'bubar']"
24,trust,"['sutopo_pn', 'daeng_info', 'radioelshinta', 'jokowi', 'prabowo', 'ditempatku', 'kawasan', 'cepu', 'jateng']"
25,trust,"['akbar', 'tanjung', 'bilang', 'cak', 'imin', 'cocok', 'cawapres', 'cakiminow', 'jokowi', 'jkw_cakimin']"
26,anticipation,"['bambangelf', 'kayaknya', 'nu', 'paham', 'memahami', 'repot', 'gus', 'dur']"
27,anticipation,"['tvonenews', 'karniilyas', 'fasilitas', 'chat', 'dinonaktifkan', 'chatnya', 'ajang']"
28,anticipation,"['uname', 'facebook', 'permanen', 'ganti', 'atasi']"
29,sadness,"['pacaran', 'kerjanya', 'sift', 'jujur', 'lumayan', 'nga', 'ena', 'libur', 'berangkat', 'berangkat', 'libur', 'libur', 'abis', 'sift', 'malam', 'capai', 'tantangan', 'ngeliat', 'pacaran', 'mudahnya', 'jalan', 'alias', 'bacot', 'huhuhu']"
30,sadness,"['iya', 'tur', 'iya', 'sombong', 'mav', 'sombong', 'sma', 'kam', 'tur', 'kemarin']"
31,sadness,"['pengurus', 'partai', 'perindo', 'mengundurkan', 'mal', 'bakar', 'baju']"
32,trust,"['pancasila', 'merdeka', 'no', 'dihati']"
33,disgust,"['raihana_wiwieal', 'eae', 'gerindra', 'si', 'sanucip', 'kader', 'pdemokrat', 'dendam', 'gerindra']"
34,anticipation,"['alasan', 'paytren', 'alasan', 'utama', 'memakai', 'aplikasi', 'paytren', 'menu', 'aplikasi', 'lengkap']"
35,anger,"['biarkan', 'teroris', 'ruang', 'merongrong', 'kehidupan', 'masyarakat', 'lawan']"
36,trust,"['setya', 'novanto', 'pengacara', 'menemuinya', 'rumah']"
37,disgust,"['adriansyahdgenk', 'rockygerung', 'kaya', 'memuja', 'prabowo', 'haha']"
38,trust,"['jadikan', 'pionir', 'hidup', 'sukses']"
