,label,tweet
1,"Anger","Hari ini sangat 😤! Bete banget sama kerjaan, deh!!! 😒😒😒 @username Harusnya bisa lebih baik, tapi malah makin ribet!"
2,"Fear","Yuhuuu~ ada yang bisa bantuin tugas nggak? #capek #stress butuh bantuan sekarang! Tolong dong, keburu deadline! http://example.com"
3,"Sad","Gak nyangka! Ternyata si dia 💔 udah punya pacar lain. 😢😢 Kenapa nggak bilang dari awal? Padahal aku setia banget."
4,"Joy","Makan siang di kafe baru 🍔🍟, enak banget! Mau lagi kesana weekend ini. Siapa mau ikut? 🤩 #makan #enak"
5,"Fear","Kemarin habis nonton film horror yang serem banget 😱😱! Sampai nggak bisa tidur semalaman, kepikiran terus."
6,"Love","Baru aja ketemu temen lama di mall. Senangnyaaa! 😍💕 Banyak cerita yang harus diupdate, kangen banget! 12345"
7,"Sad","Gimana sih bisa dapetin tiket konsernya? 😭😭 Udah coba berkali-kali tapi selalu sold out. Ada tips nggak?!!!!"
8,"Neutral","Lagi hujan deras di luar ☔️, enaknya tidur siang sambil dengerin musik jazz. Siapa suka kayak gini juga?"
9,"Joy","Belajar coding ternyata seru juga 💻! Awalnya susah tapi kalau udah ngerti, jadi ketagihan mau bikin project."
10,"Neutral","Weekend ini mau staycation di villa. 🏡✨ Butuh banget refreshing dari rutinitas sehari-hari. Siapa ikut?"
