,label,tweet
0,trust,Keren kando
1,anticipation,"Grace Natalie kemudian membandingkan hasil temuan tim riset PSI, antara era kepemimpinan Susilo Bambang Yudhoyono (…"
2,trust,"Mantap ,,,,"
3,sadness,Uda pernah. Ga dapet apa apaaaah
4,fear,"[USERNAME] Paling parah sih gabisa sama skali liat yg bolong2, totol2(?), bintik2, polkadot2 semacam itu lah. Bisa nangis sampe pusing karena terngiang2 terus di kepala dan geli aja takut pokoknya gamau liat"
5,sadness,Menerima Pembayaran Menggunakan Ginjal\n\n#ROG\n#ILOVEROG\n#ASUS\n#snsv\n\n:v
6,sadness,min facebook saya di ambil orang dan saya tidak tau siapa yang ambil alih nya mohon pencerahhan nya
7,trust,@Aryprasetyo85 @Gerindra Mantap nich partai...komplit pake spesial  gmn klo indonesia  d kuasai partai ini?
8,sadness,Sejujurnya masih sesedih itu gak bisa nurutin ambisi yang selama ini dipengenin. Tapi emang harus belajar ikhlas. Ridho. Benar-benar menyerahkan semuanya ke Tuhan. Kudu legowo.
9,joy,"Pertarungan Real Madrid vs Atletico Madrid menggambarkan Pertarungan dua kontradiksi abadi dlm sistem ekonomi masyarakat Dunia. Real Madrid mewakili kekuatan dominasi Borjuasi, mulai dari Borjuasi kecil, Borjuasi Nasional hingga Borjuasi Komparador. Sementara Atletico Madrid mewakili kekuatan solidaritas Kelas pekerja, yg tdk menonjolkan kekuatan individu tertentu. Mereka bersatu dan melawan serta bangkit dari keterpurukan, dgn memanfaatkan 90 menit waktu normal ditambah babak perpanjangan waktu, walau kemudian lagi2 kemenangan harus ditentukan oleh kekuatan individu (Adu Pinalti). Bravo Atletico, Revolusi Belum Selesai... dan jgn salah, ada banyak kemenangan kecil.. dgn Bursa segitu, Hancur Bandar Brooo.... wkwkwkwkwkw :D  #DontSTOPthePARTY  :D"
10,trust,Kelurahan mana? Anda laporkan ke sini? Sebut saja namanya @P3Mkotasmg
11,trust,Khofifah: Pasar Ikan Lamongan Bisa Jadi Plasa Ikan ala Korsel #EmilDardak
12,anticipation,Nyimakk
13,joy,@Gerindra Aamiin yaa Robb
14,anticipation,info buat teman2 dan saudara2 dijalan selama bulan puasa....kemarin teman saya dijalan berasa di hipnotis.....tau tau masuk ke dalam MCdonald...pas kenyang baru sadar....mohon hati2 penipuan ini lagi marak selama bulan puasa....
15,anger,@NurSyahbana9 @BambangDj40 @Gerindra @fadlizon @kumparan Yg menghalang2i UU Terorisme adl bagian dr teroris! Bknkah bgt Zonk @ Fadlizon?
16,anticipation,Brp harganya
17,joy,never surrender @SBYudhoyono lanjutGAN...!!! #BangRip
18,joy,@fadlizon @Gerindra @prabowo setuju banget pak prabowo capres... tapi capres aja yaaaa. tapi tetep jokowi presidenya.. #2PERIODE
19,disgust,… I Tak pro rakyat I @MRF_Info @MustafaJajuli @herman_sutono @SrikandiLampung…
20,anticipation,Ini kapan buka di Jakarta ya?
21,disgust,@Fey46260988 @HipHop74934648 @Gerindra @fadlizon @prabowo Ihhh..\nSerem yg temenan sm tuh partai...
22,sadness,"Di malam ini, saat lagi terpojokkan memilih jalan. Dapet DM begini : kalo udah ada niat segera d laksanakan.. soale ntr d tunda sama dengan ga jdi wkwk biasane wkwk Lalu kutersedaq"
23,trust,"@prabowo , 2014 sy sdh nulis. Sependapat, salah urus negara/indonesia bisa bubar."
24,trust,@Sutopo_PN @Daeng_Info @RadioElshinta @jokowi @prabowo Kayak ditempatku dulu. Kawasan cepu jateng
25,trust,Akbar Tanjung Bilang Cak Imin Cocok Jadi Cawapres @cakimiNOW @jokowi @Jkw_CakImin…
26,anticipation,"@bambangelf Kayanya dia bukan orang NU, karena tdk paham... Dan blm bs memahami \Gitu Aja Kok Repot\nya Gus Dur...…"
27,anticipation,"@tvOneNews @karniilyas mohon fasilitas chat pada dinonaktifkan, chatnya jadi ajang saling h…"
28,anticipation,Mau nanya uname fb saya permanen ga bisa di ganti\nApa itu bisa di atasi??
29,sadness,"Pacaran sama yg kerjanya sama2 sift itu jujur aja lumayan nga ena - Gue libur dia berangkat - Gue berangkat dia libur - Sama sama libur tapi abis sift malem capek Tapi, jadi buat tantangan sih kalo ngeliat orang pacaran dengan mudahnya jalan tiap hari alias bacot saya! Huhuhu"
30,sadness,iya tur iya jangan sombong lagi ya :d lah mav kalau sudah sombong sma kam tur :/ dari kemaren2
31,sadness,"Pengurus Partai Perindo Mengundurkan Diri Secara Massal, Bakar Baju dan KTA,"
32,trust,Salam PANCASILA-MERDEKAAA.. No 4 selalu dihati
33,disgust,@raihana_wiwieal @eae18 @Gerindra Si @SANUCIP kader @PDemokrat yg dendam sama @Gerindra
