,full_text
0, kenapa match lavani vs pbs ga bisa diputar mau nonton ulang aksi beik nih
1, ga mau ga ngasih solusi jg solusinya itu reupload match proliga nya  kemarin titik
2, nyiarin indo vs usbek gk
3, kecewa banget udah berbayar tapi gak bisa nonton tim uber main 
4, ohhhh di court   ternyata ga ada kamera emang
5, lah tau gitu mending saya langganan spotv aja   ini sampai final emang ga akan ditayangin apa gimana
6, udah min mohon dicek 
7, saya udah langganan kenapa mau nonton gak bisa ya 
8, endingnya kayak bourne ultimatum
9, min voli lavani vs sumsel babel gak bisa di tonton ulang yg tgl    kemarin
10, udh dicek ga ada om malah nayangin suns timberwolves
11, liat komplainannya sama semua tiba  ga bisa dibuka match bolanya tadi nonton arsenal lancar  aja
12, tolonglah buffering mulu ini terus tiba tiba error dan ga bisa di tonton akhirnya saya nonton netflix yg  k aja ga buffering sama sekali
13, halah udah telat gausah
14, akhirakhir ini layanan streaming kalian menjengkelkan sering dan banyak bufferingnya padahal udah gantiganti provider internet sampe pindah device sama aja please dong perbaikin 
15, oke terima kasih padahal ku langganannya yg multiple device
16, ga usah dm bilangin itu ke komentator diem aja gitu
17, males banget harus langganan lg vidio padahal spotv lebih dulu ada di vision
18, woiii ini kenapa nonton moto gp tiap squeeze frame ads jadi patah  kualitasnya sangat menjengkelkan
19, min kenapa nda bisa beli paket ini 
20, sudah saya dm ya min
21,  ku kira akunku yg eror kok delay pdahal masih lumayan lama ternyata 
22,  mending gak usah
23, kenapa vidio di ipad gabisa ya min udah   bulan masih seperti ini terus 
24, ya dah gak usah nonton aj
25,  min jgn ngejinx 
26, aku hanya langganan spotv kak
27, kalo delay buat apa subscribe min 
28, lah ngapain tayangan delay apa serunya mana negara sendiri siaran tunda payah emang kalau ginj terus subscriber ya males langganan lagi
29, ya ngapain beli hak siar kalau negara sendiri majn ga ditayangin malah nayangin negara lain ini kan thomas uber bukan thomas aja hadehhh
30, oke kak 
31,  waduw ngapain juga nayangin negara sendiri di delay agak lain emang
32,  uber indo vs hongkong ga ada
33,  hesssss tiwas langganan
