source,target,weight
Indosiar,vidio,16
arifsidy,vidio,11
herisantiko,vidio,9
xzibit017,vidio,8
anggpermadi,vidio,6
sepupu_ozil,vidio,5
RichartVolx,vidio,5
rizzk_aa,itsmeninaaja,5
recentaely,vidio,5
PMskk15,vidio,4
ininawawi,vidio,4
marsiogroup,vidio,4
neynyak31589,vidio,4
neynyak31589,SCTV,4
bhulukhuduktv,vidio,4
vidio,arifsidy,4
sfbima,vidio,4
MadPandazx,vidio,4
intoxicatae,vidio,4
itsmeninaaja,vidio,4
rizzk_aa,ael_kelapa,4
itsmeninaaja,SCTV,4
anyrsxv,vidio,4
dewaunitedfc_,vidio,4
waahyun,vidio,4
Bluebliblo,vidio,4
itsmeninaaja,randompanaland,4
itsmeninaaja,panal_stream,4
rizzk_aa,randompanaland,4
rizzk_aa,panal_stream,4
rizzk_aa,divyagrn,4
rizzk_aa,vidio,4
rizzk_aa,SCTV,4
SCTV,vidio,4
itsmeninaaja,ael_kelapa,4
itsmeninaaja,divyagrn,4
Indosiar,indosiar,4
WhisnuWiranata,vidio,4
irfannurhakim,vidio,4
GanisRamadhan14,vidio,4
Annisasugest,vidio,4
cakkadull,vidio,4
Rocky2197,vidio,3
cakkadull,darwizzly,3
txtdarioren,vidio,3
gyulfc,vidio,3
mblnk,BadmintonTalk,3
xjhpp,vidio,3
gyulfc,cakkadull,3
ardian_mp,vidio,3
mibnuy,vidio,3
nengdarma,vidio,3
DefVl06,vidio,3
Adhirizkyputra,vidio,3
iwakopocyag,vidio,3
fk_hap,vidio,3
vidio,waahyun,3
rizzk_aa,AulyaUma,3
nanadrakidalu,vidio,3
WhisnuWiranata,Telkomsel,3
itsmeninaaja,rizzk_aa,3
harunal_rasyid_,vidio,3
itsmeninaaja,AulyaUma,3
Biskuattikan,vidio,3
mblnk,vidio,3
CineManiaXX,visionplusid,3
alfianto_ian,vidio,3
vidio,anggpermadi,3
ibungdian,vidio,3
andryn170403,vidio,3
JCIndonesia,vidio,3
followIndoPr0,vidio,3
YoShahel,vidio,3
titootito,vidio,2
vidio,anyrsxv,2
vidio,iwakopocyag,2
goesdut,vidio,2
herisantiko,lilily08,2
herisantiko,liebeslieid,2
singgiihh,vidio,2
iniakuoway,vidio,2
onyourmarkllee,vidio,2
anaksholeh666,vidio,2
dewaunitedfc_,Indosiar,2
vidio,YoShahel,2
grafitiiix,vidio,2
tohirp1000,gopayindonesia,2
tohirp1000,vidio,2
vidio,DefVl06,2
dimas_okt,vidio,2
adlxxxx,vidio,2
kamalcha08,vidio,2
HardiFuazen,vidio,2
diazpradipta,vidio,2
seyay_,vidio,2
imunk_7,vidio,2
fariqrafael_,vidio,2
TheSouthers,vidio,2
DepropFH25,vidio,2
DepropFH25,yogisblitar,2
_rafi13,vidio,2
yogisblitar,vidio,2
indo_villans,vidio,2
pjmarbun,vidio,2
